"data","casosNovos","obitosNovos"
2020-02-25,0,0
2020-02-26,2,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,2,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,2,0
2020-03-05,8,0
2020-03-06,12,0
2020-03-07,12,0
2020-03-08,12,0
2020-03-09,0,0
2020-03-10,18,0
2020-03-11,36,0
2020-03-12,50,0
2020-03-13,42,0
2020-03-14,46,0
2020-03-15,158,0
2020-03-16,68,0
2020-03-17,114,2
2020-03-18,274,6
2020-03-19,386,4
2020-03-20,566,10
2020-03-21,448,14
2020-03-22,836,14
2020-03-23,690,18
2020-03-24,620,24
2020-03-25,464,22
2020-03-26,964,40
2020-03-27,1004,30
2020-03-28,4884,158
2020-03-29,1063,66
2020-03-30,966,69
2020-03-31,3431,126
2020-04-01,3330,121
2020-04-02,3223,173
2020-04-03,3476,180
2020-04-04,3647,219
2020-04-05,2538,162
2020-04-06,2786,203
2020-04-07,5118,352
2020-04-08,6595,401
2020-04-09,5709,411
2020-04-10,5406,352
2020-04-11,3266,202
2020-04-12,4272,292
2020-04-13,3920,318
2020-04-14,5431,616
2020-04-15,9277,612
2020-04-16,6127,564
2020-04-17,9824,644
2020-04-18,8814,628
2020-04-19,6059,339
2020-04-20,5782,342
2020-04-21,7511,499
2020-04-22,8201,496
2020-04-23,11205,1217
2020-04-24,10743,1082
2020-04-25,16553,1051
2020-04-26,9993,575
2020-04-27,13559,986
2020-04-28,16378,1444
2020-04-29,18819,1332
2020-04-30,21527,1298
2020-05-01,17935,1298
2020-05-02,15149,1186
2020-05-03,14170,896
2020-05-04,19819,869
2020-05-05,20805,1800
2020-05-06,31509,1843
2020-05-07,29664,1832
2020-05-08,30666,2249
2020-05-09,31833,2194
2020-05-10,20280,1488
2020-05-11,16896,1188
2020-05-12,27774,2643
2020-05-13,34155,2247
2020-05-14,41832,2532
2020-05-15,45915,2469
2020-05-16,44757,2451
2020-05-17,23814,1455
2020-05-18,39420,2022
2020-05-19,52224,3537
2020-05-20,59853,2664
2020-05-21,55524,3564
2020-05-22,62409,2999
2020-05-23,49375,2896
2020-05-24,47588,1961
2020-05-25,35061,2422
2020-05-26,48972,3117
2020-05-27,61797,3258
2020-05-28,79251,3456
2020-05-29,81393,3387
2020-05-30,99213,2865
2020-05-31,47280,1440
2020-06-01,36741,1869
2020-06-02,86808,3786
2020-06-03,85899,4047
2020-06-04,92775,4419
2020-06-05,92490,3015
2020-06-06,81225,2712
2020-06-07,56736,1575
2020-06-08,46962,2037
2020-06-09,96273,3816
2020-06-10,98739,3822
2020-06-11,91236,3717
2020-06-12,77946,2727
2020-06-13,65112,2676
2020-06-14,51330,1836
2020-06-15,61941,1881
2020-06-16,104754,3846
2020-06-17,96564,3807
2020-06-18,68295,3714
2020-06-19,164313,3618
2020-06-20,103998,3066
2020-06-21,52377,1923
2020-06-22,64296,1962
2020-06-23,118308,4122
2020-06-24,128175,3555
2020-06-25,118449,3423
2020-06-26,140580,2970
2020-06-27,116079,3327
2020-06-28,91428,1656
2020-06-29,72156,2076
2020-06-30,101538,3840
2020-07-01,140136,3114
2020-07-02,144315,3756
2020-07-03,126669,3870
2020-07-04,113769,3273
2020-07-05,78153,1806
2020-07-06,60687,1860
2020-07-07,135915,3762
2020-07-08,133713,3669
2020-07-09,127857,3660
2020-07-10,135144,3642
2020-07-11,117069,3213
2020-07-12,74493,1893
2020-07-13,60858,2199
2020-07-14,125571,3900
2020-07-15,119772,3699
2020-07-16,136209,3966
2020-07-17,102531,3489
2020-07-18,85596,2763
2020-07-19,70587,2148
2020-07-20,60771,1896
2020-07-21,123024,4101
2020-07-22,203580,3852
2020-07-23,179883,3933
2020-07-24,167673,3468
2020-07-25,153441,3633
2020-07-26,73734,1665
2020-07-27,69852,1842
2020-07-28,122448,2763
2020-07-29,207222,4785
2020-07-30,173511,3387
2020-07-31,157149,3636
2020-08-01,136176,3264
2020-08-02,77400,1623
2020-08-03,49923,1683
2020-08-04,154809,3462
2020-08-05,168504,4279
2020-08-06,162369,3743
2020-08-07,150690,3237
2020-08-08,149910,2715
2020-08-09,69030,1716
2020-08-10,66144,2109
2020-08-11,156480,3822
2020-08-12,165465,3525
2020-08-13,180273,3786
2020-08-14,151932,3180
2020-08-15,124728,2127
2020-08-16,69303,1860
2020-08-17,58119,2052
2020-08-18,143352,4056
2020-08-19,147894,3636
2020-08-20,135969,3612
2020-08-21,91065,3162
2020-08-22,150096,2676
2020-08-23,70263,1482
2020-08-24,51234,1695
2020-08-25,141402,3813
2020-08-26,141483,3255
2020-08-27,132705,2952
2020-08-28,130236,2565
2020-08-29,124050,2874
2020-08-30,48474,1098
2020-08-31,137883,1659
2020-09-01,127977,3645
2020-09-02,140802,3552
2020-09-03,131319,2502
2020-09-04,153582,2721
2020-09-05,90504,2046
2020-09-06,43563,1341
2020-09-07,30819,930
2020-09-08,42837,1512
2020-09-09,107448,3225
2020-09-10,121671,2949
2020-09-11,131154,2622
2020-09-12,100569,2442
2020-09-13,44304,1245
2020-09-14,45465,1143
2020-09-15,109959,3339
2020-09-16,110460,2961
2020-09-17,108909,2487
2020-09-18,119391,2574
2020-09-19,99171,2217
2020-09-20,49167,1089
2020-09-21,40317,1131
2020-09-22,100608,2508
2020-09-23,99843,2607
2020-09-24,98451,2493
2020-09-25,95733,2187
2020-09-26,85134,2607
2020-09-27,42954,1005
2020-09-28,39465,951
2020-09-29,96174,2589
2020-09-30,100239,3093
2020-10-01,108471,2184
2020-10-02,100293,2124
2020-10-03,78930,1797
2020-10-04,25368,1095
2020-10-05,35838,969
2020-10-06,125718,2457
2020-10-07,94659,2202
